Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
rseC,activator,"Transcription related; sigma factors, anti-sigmafactors; starvation; other (mechanical, nutritional, oxidative stress); membrane",GO:0006979 - response to oxidative stress; GO:0051090 - regulation of DNA-binding transcription factor activity,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0098797 - plasma membrane protein complex; GO:1990204 - oxidoreductase complex,"GO:0016651 - oxidoreductase activity, acting on NAD(P)H"
rseA,activator,"Transcription related; sigma factors, anti-sigmafactors; temperature extremes; other (mechanical, nutritional, oxidative stress)",GO:0006950 - response to stress; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:1903865 - sigma factor antagonist complex,GO:0005515 - protein binding; GO:0016989 - sigma factor antagonist activity; GO:0060090 - molecular adaptor activity
fkpA,activator,"chaperoning, repair (refolding)",GO:0006457 - protein folding; GO:0042026 - protein refolding,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0003755 - peptidyl-prolyl cis-trans isomerase activity; GO:0016853 - isomerase activity; GO:0044183 - protein folding chaperone
talA,activator,"non-oxidative branch, pentose pathway",GO:0005975 - carbohydrate metabolic process; GO:0006098 - pentose-phosphate shunt,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004801 - transaldolase activity; GO:0016740 - transferase activity
tktB,activator,"carbon compounds; non-oxidative branch, pentose pathway","GO:0006098 - pentose-phosphate shunt; GO:0009052 - pentose-phosphate shunt, non-oxidative branch",GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004802 - transketolase activity; GO:0016740 - transferase activity; GO:0016744 - transketolase or transaldolase activity; GO:0046872 - metal ion binding
csrA,activator,"carbon compounds; glycolysis; cytoplasmic polysaccharides; central intermediary metabolism; RNA degradation; translation attenuation and efficiency; global; motility, chemotaxis, energytaxis (aerotaxis, redoxtaxis etc)",GO:0006109 - regulation of carbohydrate metabolic process; GO:0006402 - mRNA catabolic process; GO:0006417 - regulation of translation; GO:0017148 - negative regulation of translation; GO:0045947 - negative regulation of translational initiation; GO:0045948 - positive regulation of translational initiation; GO:0048255 - mRNA stabilization,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003723 - RNA binding; GO:0048027 - mRNA 5'-UTR binding
cadA,repressor,pH,GO:0006520 - amino acid metabolic process; GO:0006527 - arginine catabolic process; GO:0006554 - lysine catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0008792 - arginine decarboxylase activity; GO:0008923 - lysine decarboxylase activity; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding; GO:0042802 - identical protein binding; GO:0097216 - guanosine tetraphosphate binding
dnaN,repressor,DNA replication,GO:0006260 - DNA replication; GO:0006261 - DNA-templated DNA replication; GO:0006271 - DNA strand elongation involved in DNA replication; GO:0006974 - DNA damage response; GO:0030174 - regulation of DNA-templated DNA replication initiation; GO:0032297 - negative regulation of DNA-templated DNA replication initiation; GO:0042276 - error-prone translesion synthesis; GO:0044787 - bacterial-type DNA replication,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009360 - DNA polymerase III complex; GO:0030894 - replisome; GO:1990078 - replication inhibiting complex; GO:1990085 - Hda-beta clamp complex,GO:0003677 - DNA binding; GO:0003887 - DNA-directed DNA polymerase activity; GO:0005515 - protein binding; GO:0008408 - 3'-5' exonuclease activity; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
dnaA,repressor,"DNA replication; Transcription related; nucleoproteins, basic proteins; activator; repressor; regulon",GO:0006260 - DNA replication; GO:0006268 - DNA unwinding involved in DNA replication; GO:0006270 - DNA replication initiation; GO:0006275 - regulation of DNA replication; GO:0008156 - negative regulation of DNA replication; GO:0030174 - regulation of DNA-templated DNA replication initiation; GO:0032297 - negative regulation of DNA-templated DNA replication initiation; GO:0032298 - positive regulation of DNA-templated DNA replication initiation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009898 - cytoplasmic side of plasma membrane; GO:1990078 - replication inhibiting complex; GO:1990082 - DnaA-L2 complex; GO:1990084 - DnaA-Dps complex; GO:1990101 - DnaA-oriC complex; GO:1990102 - DnaA-DiaA complex; GO:1990103 - DnaA-HU complex,GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003688 - DNA replication origin binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0042802 - identical protein binding; GO:0043565 - sequence-specific DNA binding
recF,repressor,DNA recombination; DNA repair,GO:0000725 - recombinational repair; GO:0000731 - DNA synthesis involved in DNA repair; GO:0006260 - DNA replication; GO:0006281 - DNA repair; GO:0006302 - double-strand break repair; GO:0006974 - DNA damage response; GO:0009411 - response to UV; GO:0009432 - SOS response,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding
leuT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
proM,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
argX,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
hisR,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
mioC,repressor,biotin; DNA replication,GO:0051302 - regulation of cell division,GO:0005829 - cytosol,GO:0010181 - FMN binding; GO:0016491 - oxidoreductase activity; GO:0043167 - ion binding; GO:0050660 - flavin adenine dinucleotide binding
sra,activator,translation; ribosomal proteins; ribosomes,GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0043024 - ribosomal small subunit binding
hisJ,repressor,"ABC superfamily, periplasmic binding component; other (mechanical, nutritional, oxidative stress)",GO:0006865 - amino acid transport; GO:0071705 - nitrogen compound transport; GO:1902024 - L-histidine transport; GO:1903810 - L-histidine import across plasma membrane,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0016597 - amino acid binding
hisQ,repressor,"ABC superfamily, membrane component; other (mechanical, nutritional, oxidative stress); membrane",GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport; GO:0071705 - nitrogen compound transport; GO:0089709 - L-histidine transmembrane transport; GO:0089718 - amino acid import across plasma membrane; GO:0097638 - L-arginine import across plasma membrane; GO:0097639 - L-lysine import across plasma membrane; GO:0097640 - L-ornithine import across plasma membrane; GO:1903810 - L-histidine import across plasma membrane,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005289 - high-affinity L-arginine transmembrane transporter activity; GO:0005291 - high-affinity L-histidine transmembrane transporter activity; GO:0005292 - high-affinity lysine transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0097627 - high-affinity L-ornithine transmembrane transporter activity
hisP,repressor,"ABC superfamily ATP binding cytoplasmic component; other (mechanical, nutritional, oxidative stress)",GO:0003333 - amino acid transmembrane transport; GO:0006865 - amino acid transport; GO:0089709 - L-histidine transmembrane transport; GO:0089718 - amino acid import across plasma membrane; GO:0097638 - L-arginine import across plasma membrane; GO:0097639 - L-lysine import across plasma membrane; GO:0097640 - L-ornithine import across plasma membrane; GO:1903810 - L-histidine import across plasma membrane,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005289 - high-affinity L-arginine transmembrane transporter activity; GO:0005291 - high-affinity L-histidine transmembrane transporter activity; GO:0005292 - high-affinity lysine transmembrane transporter activity; GO:0005524 - ATP binding; GO:0015424 - ABC-type amino acid transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0097627 - high-affinity L-ornithine transmembrane transporter activity
hisM,repressor,"ABC superfamily, membrane component; other (mechanical, nutritional, oxidative stress); membrane",GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport; GO:0071705 - nitrogen compound transport; GO:0089709 - L-histidine transmembrane transport; GO:0089718 - amino acid import across plasma membrane; GO:0097638 - L-arginine import across plasma membrane; GO:0097639 - L-lysine import across plasma membrane; GO:0097640 - L-ornithine import across plasma membrane; GO:1903810 - L-histidine import across plasma membrane,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005289 - high-affinity L-arginine transmembrane transporter activity; GO:0005291 - high-affinity L-histidine transmembrane transporter activity; GO:0005292 - high-affinity lysine transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0097627 - high-affinity L-ornithine transmembrane transporter activity
argT,repressor,"arginine; lysine; ABC superfamily, periplasmic binding component",GO:0006865 - amino acid transport; GO:0006995 - cellular response to nitrogen starvation; GO:0009267 - cellular response to starvation; GO:0015822 - ornithine transport; GO:0071294 - cellular response to zinc ion; GO:0071705 - nitrogen compound transport; GO:0089718 - amino acid import across plasma membrane; GO:1902022 - L-lysine transport; GO:1903826 - L-arginine transmembrane transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",
leuX,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
glnX,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
glnV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
glnU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
leuW,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
metU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
metT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
glnW,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
leuV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
serW,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
rpoE,activator,"Transcription related; sigma factors, anti-sigmafactors; stimulon; temperature extremes; other (mechanical, nutritional, oxidative stress)",GO:0006351 - DNA-templated transcription; GO:0006352 - DNA-templated transcription initiation; GO:0006355 - regulation of DNA-templated transcription; GO:0006970 - response to osmotic stress; GO:0009266 - response to temperature stimulus; GO:0036460 - cellular response to cell envelope stress; GO:0045892 - negative regulation of DNA-templated transcription; GO:0090605 - submerged biofilm formation; GO:2000142 - regulation of DNA-templated transcription initiation,GO:0000345 - cytosolic DNA-directed RNA polymerase complex; GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:1903865 - sigma factor antagonist complex,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0016987 - sigma factor activity
tyrT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
tyrV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
tpr,repressor,"nucleoproteins, basic proteins",,GO:0005829 - cytosol,
metZ,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
metW,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
metV,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
ilvI,repressor,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol; GO:0005948 - acetolactate synthase complex,GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0003984 - acetolactate synthase activity; GO:0016740 - transferase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0046872 - metal ion binding; GO:0050660 - flavin adenine dinucleotide binding
ilvH,repressor,isoleucine/valine,GO:0008652 - amino acid biosynthetic process; GO:0009082 - branched-chain amino acid biosynthetic process; GO:0009097 - isoleucine biosynthetic process; GO:0009099 - valine biosynthetic process,GO:0005829 - cytosol; GO:0005948 - acetolactate synthase complex,GO:0003984 - acetolactate synthase activity; GO:0016740 - transferase activity; GO:1990610 - acetolactate synthase regulator activity
hmp,activator,unassigned reversible reactions,GO:0009636 - response to toxic substance; GO:0015671 - oxygen transport; GO:0046210 - nitric oxide catabolic process; GO:0051409 - response to nitrosative stress; GO:0071500 - cellular response to nitrosative stress,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0030288 - outer membrane-bounded periplasmic space,GO:0005344 - oxygen carrier activity; GO:0005504 - fatty acid binding; GO:0008941 - nitric oxide dioxygenase NAD(P)H activity; GO:0016491 - oxidoreductase activity; GO:0019825 - oxygen binding; GO:0020037 - heme binding; GO:0032843 - hydroperoxide reductase activity; GO:0046872 - metal ion binding; GO:0071949 - FAD binding
uspA,activator,unknown; adaptations,,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
cspD,activator,DNA replication; DNA structure level,GO:0006355 - regulation of DNA-templated transcription; GO:0008156 - negative regulation of DNA replication; GO:0010468 - regulation of gene expression; GO:0035821 - modulation of process of another organism; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003676 - nucleic acid binding; GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0003723 - RNA binding; GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0090729 - toxin activity
fadD,activator,fatty acids; phospholipid,GO:0001676 - long-chain fatty acid metabolic process; GO:0006629 - lipid metabolic process; GO:0006631 - fatty acid metabolic process; GO:0006635 - fatty acid beta-oxidation; GO:0006637 - acyl-CoA metabolic process; GO:0008654 - phospholipid biosynthetic process; GO:0009411 - response to UV; GO:0015908 - fatty acid transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009898 - cytoplasmic side of plasma membrane; GO:0016020 - membrane,GO:0000166 - nucleotide binding; GO:0004467 - long-chain fatty acid-CoA ligase activity; GO:0005504 - fatty acid binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042803 - protein homodimerization activity; GO:0070538 - oleic acid binding; GO:0102391 - decanoate-CoA ligase activity
sroD,activator,,,,
ftsK,activator,Transporters of Unknown Classification; cell division; SOS response; membrane,GO:0000917 - division septum assembly; GO:0000920 - septum digestion after cytokinesis; GO:0006970 - response to osmotic stress; GO:0007049 - cell cycle; GO:0007059 - chromosome segregation; GO:0009651 - response to salt stress; GO:0032508 - DNA duplex unwinding; GO:0043093 - FtsZ-dependent cytokinesis; GO:0045893 - positive regulation of DNA-templated transcription; GO:0051301 - cell division; GO:0071236 - cellular response to antibiotic,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0032153 - cell division site; GO:1990586 - divisome complex,GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0015616 - DNA translocase activity; GO:0016887 - ATP hydrolysis activity; GO:0036121 - double-stranded DNA helicase activity; GO:0042802 - identical protein binding; GO:0043565 - sequence-specific DNA binding
crp,repressor,Transcription related; activator; repressor; global,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0045013 - carbon catabolite repression of transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,"GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003680 - minor groove of adenine-thymine-rich DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding; GO:0008301 - DNA binding, bending; GO:0030552 - cAMP binding; GO:0042802 - identical protein binding; GO:0043565 - sequence-specific DNA binding"
rmf,activator,translation; ribosomes,GO:0006417 - regulation of translation; GO:0022611 - dormancy process; GO:0032055 - negative regulation of translation in response to stress; GO:0033554 - cellular response to stress,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003723 - RNA binding; GO:0019843 - rRNA binding; GO:0043022 - ribosome binding; GO:0043024 - ribosomal small subunit binding
uspC,activator,adaptations; radiation,GO:0009267 - cellular response to starvation; GO:0009651 - response to salt stress; GO:0034644 - cellular response to UV,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0005515 - protein binding; GO:0042803 - protein homodimerization activity; GO:0060090 - molecular adaptor activity
uspD,activator,adaptations; radiation,GO:0000303 - response to superoxide; GO:0009411 - response to UV; GO:0042594 - response to starvation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0042803 - protein homodimerization activity
yiiS,activator,,,GO:0005829 - cytosol,
uspE,activator,adaptations; radiation,GO:0006950 - response to stress; GO:0034644 - cellular response to UV; GO:0044010 - single-species biofilm formation; GO:0070301 - cellular response to hydrogen peroxide; GO:0071973 - bacterial-type flagellum-dependent cell motility,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0036094 - small molecule binding
argH,activator,arginine,GO:0006526 - arginine biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0042450 - arginine biosynthetic process via ornithine,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004056 - argininosuccinate lyase activity; GO:0016829 - lyase activity
qorA,activator,electron carriers,,GO:0005829 - cytosol,GO:0003960 - NADPH:quinone reductase activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016491 - oxidoreductase activity; GO:0042803 - protein homodimerization activity; GO:0070402 - NADPH binding
glyT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
thrT,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
tyrU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
thrU,repressor,tRNA,,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0030533 - triplet codon-amino acid adaptor activity
tufB,repressor,translation; osmotic pressure,GO:0006412 - translation; GO:0006414 - translational elongation; GO:0046677 - response to antibiotic,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0032045 - guanyl-nucleotide exchange factor complex,GO:0000166 - nucleotide binding; GO:0003723 - RNA binding; GO:0003746 - translation elongation factor activity; GO:0003924 - GTPase activity; GO:0005515 - protein binding; GO:0005525 - GTP binding; GO:0097216 - guanosine tetraphosphate binding
sroA,activator,RNA related,,,
sgrR,activator,activator; repressor,GO:0015833 - peptide transport; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol; GO:0030288 - outer membrane-bounded periplasmic space,GO:0000976 - transcription cis-regulatory region binding; GO:0003677 - DNA binding; GO:1904680 - peptide transmembrane transporter activity
thiB,activator,"thiamin; ABC superfamily, periplasmic binding component",GO:0015888 - thiamine transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport; GO:0071934 - thiamine transmembrane transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0030975 - thiamine binding; GO:0030976 - thiamine pyrophosphate binding
thiQ,activator,thiamin; ABC superfamily ATP binding cytoplasmic component,GO:0071934 - thiamine transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0015234 - thiamine transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity; GO:0042626 - ATPase-coupled transmembrane transporter activity; GO:0048502 - ABC-type thiamine transporter activity
thiP,activator,"thiamin; ABC superfamily, membrane component; membrane",GO:0015888 - thiamine transport; GO:0055085 - transmembrane transport; GO:0071934 - thiamine transmembrane transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0015234 - thiamine transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
uspB,activator,adaptations; detoxification; membrane,GO:0000725 - recombinational repair; GO:0006974 - DNA damage response; GO:0045471 - response to ethanol,GO:0005886 - plasma membrane; GO:0016020 - membrane,
fadL,activator,fatty acids; Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily); prophage genes and phage related functions,GO:0006869 - lipid transport; GO:0015908 - fatty acid transport; GO:0015909 - long-chain fatty acid transport; GO:0055085 - transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane,GO:0015483 - long-chain fatty acid transporting porin activity; GO:0022834 - ligand-gated channel activity
pnp,repressor,RNA; RNA degradation,GO:0006396 - RNA processing; GO:0006401 - RNA catabolic process; GO:0006402 - mRNA catabolic process; GO:0009408 - response to heat,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane; GO:1990061 - bacterial degradosome,GO:0000175 - 3'-5'-RNA exonuclease activity; GO:0000287 - magnesium ion binding; GO:0003676 - nucleic acid binding; GO:0003723 - RNA binding; GO:0004654 - polyribonucleotide nucleotidyltransferase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0035438 - cyclic-di-GMP binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
rpsO,repressor,translation; ribosomal proteins; ribosomes,GO:0000028 - ribosomal small subunit assembly; GO:0002181 - cytoplasmic translation; GO:0006412 - translation; GO:0006417 - regulation of translation; GO:0035194 - regulatory ncRNA-mediated post-transcriptional gene silencing,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:0043229 - intracellular organelle; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0019843 - rRNA binding; GO:0070181 - small ribosomal subunit rRNA binding
rnpA,repressor,RNA; RNA modification,GO:0001682 - tRNA 5'-leader removal; GO:0006396 - RNA processing; GO:0008033 - tRNA processing; GO:0042780 - tRNA 3'-end processing,GO:0005829 - cytosol; GO:0030677 - ribonuclease P complex,GO:0000049 - tRNA binding; GO:0003723 - RNA binding; GO:0004518 - nuclease activity; GO:0004519 - endonuclease activity; GO:0004526 - ribonuclease P activity; GO:0016787 - hydrolase activity; GO:0042781 - 3'-tRNA processing endoribonuclease activity
rpmH,repressor,translation; ribosomal proteins; inhibition / activation of enzymes; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022625 - cytosolic large ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding
rplI,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022625 - cytosolic large ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0070180 - large ribosomal subunit rRNA binding
rpsF,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:0043229 - intracellular organelle; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0048027 - mRNA 5'-UTR binding; GO:0070181 - small ribosomal subunit rRNA binding
priB,repressor,DNA replication,"GO:0006260 - DNA replication; GO:0006268 - DNA unwinding involved in DNA replication; GO:0006269 - DNA replication, synthesis of RNA primer; GO:0006270 - DNA replication initiation; GO:0006276 - plasmid maintenance; GO:0009314 - response to radiation; GO:0031297 - replication fork processing",GO:0005829 - cytosol; GO:0030894 - replisome; GO:1990077 - primosome complex; GO:1990099 - pre-primosome complex; GO:1990158 - DnaB-DnaC-DnaT-PriA-PriB complex,GO:0003677 - DNA binding; GO:0003697 - single-stranded DNA binding; GO:0005515 - protein binding; GO:0042802 - identical protein binding
rpsR,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022627 - cytosolic small ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0005515 - protein binding; GO:0019843 - rRNA binding; GO:0048027 - mRNA 5'-UTR binding; GO:0070181 - small ribosomal subunit rRNA binding
rpmE,repressor,translation; ribosomal proteins; ribosomes,GO:0002181 - cytoplasmic translation; GO:0006412 - translation; GO:0006413 - translational initiation; GO:1904689 - negative regulation of cytoplasmic translational initiation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005840 - ribosome; GO:0022625 - cytosolic large ribosomal subunit; GO:1990904 - ribonucleoprotein complex,GO:0003723 - RNA binding; GO:0003735 - structural constituent of ribosome; GO:0008270 - zinc ion binding; GO:0019843 - rRNA binding; GO:0046872 - metal ion binding
prfB,repressor,translation,GO:0006412 - translation; GO:0006415 - translational termination,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003747 - translation release factor activity; GO:0016149 - translation release factor activity, codon specific"
