Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of malIp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malIp	-	malI	b1620
Regulation of malIp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malIp	+	malI	b1620
Regulation of malKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malKp	+	malK // lamB // malM	b4035 // b4036 // b4037
Regulation of malKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malKp	+	malK // lamB // malM	b4035 // b4036 // b4037
Regulation of malKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malKp	+	malK // lamB // malM	b4035 // b4036 // b4037
Regulation of malKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malKp	+	malK // lamB // malM	b4035 // b4036 // b4037
Regulation of malSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malSp	+	malS	b3571
Regulation of malTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malTp	+	malT	b3418
Regulation of malXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malXp	+	malX // malY	b1621 // b1622
Regulation of malXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	malXp	+	malX // malY	b1621 // b1622
Regulation of manAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	manAp	-	manA	b1613
Regulation of manAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	manAp	-	manA	b1613
Regulation of manAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	manAp	+	manA	b1613
Regulation of manXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	manXp	+	manX // manY // manZ	b1817 // b1818 // b1819
Regulation of manXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	manXp	+	manX // manY // manZ	b1817 // b1818 // b1819
Regulation of marRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	marRp	+	marR // marA // marB	b1530 // b1531 // b1532
Regulation of mcaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mcaSp	+	mcaS	b4426
Regulation of mdhp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mdhp1	+	mdh	b3236
Regulation of melAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	melAp	+	melA // melB	b4119 // b4120
Regulation of melAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	melAp	+	melA // melB	b4119 // b4120
Regulation of melRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	melRp	+	melR	b4118
Regulation of melRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	melRp	+	melR	b4118
Regulation of metKp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metKp	-	metK	b2942
Regulation of metKp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metKp2	-	metK	b2942
Regulation of metYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	metYp2	-	metY // pnp // rpsO // truB // rbfA // infB // nusA // rimP	b3171 // b3164 // b3165 // b3166 // b3167 // b3168 // b3169 // b3170
Regulation of mglBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mglBp	+	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mglBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mglBp2	+	mglC // mglA // mglB	b2148 // b2149 // b2150
Regulation of mhpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mhpAp	+	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	b0351 // b0352 // b0350 // b0349 // b0348 // b0347
Regulation of mhpRp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mhpRp1	+	lacI // mhpR	b0345 // b0346
Regulation of mlcp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp	+	bidA // mlc	b1593 // b1594
Regulation of mlcp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp1	-	mlc	b1594
Regulation of mlcp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mlcp2	+	bidA // mlc	b1593 // b1594
Regulation of modAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	modAp2	+	modA // modB // modC	b0763 // b0764 // b0765
Regulation of mplp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mplp	+	mpl	b4233
Regulation of mplp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mplp1	+	mpl	b4233
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of mtlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	mtlAp	+	mtlA // mtlD // mtlR	b3599 // b3600 // b3601
Regulation of murQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp	+	murP // murQ	b2429 // b2428
Regulation of murQp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp1	+	murP // murQ	b2429 // b2428
Regulation of murQp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	murQp2	+	murP // murQ	b2429 // b2428
Regulation of nadCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nadCp	+	nadC	b0109
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	+	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	-	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagBp	+	umpH // nagC // nagA // nagB	b0675 // b0676 // b0677 // b0678
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	+	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	-	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	-	nagE	b0679
Regulation of nagEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nagEp	+	nagE	b0679
Regulation of nanAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nanAp	+	nanA // nanQ // nanK // nanE // nanT	b3225 // b3221 // b3222 // b3223 // b3224
Regulation of nanCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nanCp	+	nanS // nanM // nanC	b4309 // b4310 // b4311
Regulation of narQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	narQp	-	narQ	b2469
Regulation of nirBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nirBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nirBp	-	nirB // nirD // nirC // cysG	b3365 // b3366 // b3367 // b3368
Regulation of nmpCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nmpCp	+	nmpC	b0553
Regulation of nmpCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nmpCp	+	nmpC	b0553
Regulation of nrdAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nrdAp	+	yfaE // nrdA // nrdB	b2236 // b2234 // b2235
Regulation of nupCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupCp	+	nupC	b2393
Regulation of nupCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupCp	+	nupC	b2393
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	+	nupG	b2964
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	+	nupG	b2964
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	-	nupG	b2964
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	-	nupG	b2964
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	+	nupG	b2964
Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	nupGp	-	nupG	b2964
Regulation of ompAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompAp1	+	ompA	b0957
Regulation of ompFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp	+	ompF	b0929
Regulation of ompFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp	+	ompF	b0929
Regulation of ompFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp	+	ompF	b0929
Regulation of ompFp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp2	+	ompF	b0929
Regulation of ompFp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp2	+	ompF	b0929
Regulation of ompFp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompFp2	+	ompF	b0929
Regulation of ompRp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompRp1	-	envZ // ompR	b3404 // b3405
Regulation of ompRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompRp2	+	envZ // ompR	b3404 // b3405
Regulation of ompRp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompRp3	+	envZ // ompR	b3404 // b3405
Regulation of ompRp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompRp4	-	envZ // ompR	b3404 // b3405
Regulation of ompWp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ompWp	-	ompW	b1256
Regulation of osmYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp	-	osmY	b4376
Regulation of osmYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp	-	osmY	b4376
Regulation of osmYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp	-	osmY	b4376
Regulation of osmYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp2	-	osmY	b4376
Regulation of osmYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp2	-	osmY	b4376
Regulation of osmYp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	osmYp2	-	osmY	b4376
Regulation of oxyRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	oxyRp	+	oxyR	b3961
Regulation of oxyRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	oxyRp2	+	oxyR	b3961
Regulation of paaAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	paaAp	+	paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA	b1398 // b1397 // b1396 // b1395 // b1394 // b1393 // b1392 // b1391 // b1390 // b1389 // b1388
Regulation of paaZp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	paaZp	+	paaZ	b1387
Regulation of pckp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pckp	-	pck	b3403
Regulation of pckp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pckp	+	pck	b3403
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pdhRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pdhRp2	+	pdhR // aceE // aceF // lpd	b0113 // b0114 // b0115 // b0116
Regulation of pkap by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pkap	+	patZ	b2584
Regulation of pkap by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pkap	+	patZ	b2584
Regulation of plaRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	plaRp	-	plaR	b3574
Regulation of pncBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pncBp	-	pncB	b0931
Regulation of pncBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	pncBp	-	pncB	b0931
Regulation of ppdDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppdDp	+	ppdD // hofB // hofC	b0108 // b0107 // b0106
Regulation of ppiAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp2	-	ppiA	b3363
Regulation of ppiAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp2	-	ppiA	b3363
Regulation of ppiAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp2	+	ppiA	b3363
Regulation of ppiAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp3	+	ppiA	b3363
Regulation of ppiAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp3	-	ppiA	b3363
Regulation of ppiAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp3	-	ppiA	b3363
Regulation of ppiAp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ppiAp4	-	ppiA	b3363
Regulation of preTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	preTp	+	preA // preT	b2147 // b2146
Regulation of proPp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	proPp1	-	proP	b4111
Regulation of proPp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	proPp2	+	proP	b4111
Regulation of prpBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	prpBp	+	prpE // prpD // prpC // prpB	b0335 // b0334 // b0333 // b0331
Regulation of prpRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	prpRp	+	prpR	b0330
Regulation of psiEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	psiEp	-	psiE	b4030
Regulation of ptsGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsGp1	+	ptsG	b1101
Regulation of ptsHp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp1	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp2	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp4	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp5	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of puuDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of raiAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	raiAp	+	raiZ // raiA	b4805 // b2597
Regulation of rbsDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rbsDp	+	rbsZ // rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	b4804 // b3753 // b3748 // b3749 // b3750 // b3751 // b3752
Regulation of relAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	relAp2	+	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of rhaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaTp	+	rhaT	b3907
Regulation of rmfp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rmfp	+	rmf	b0953
Regulation of rplMp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rplMp	-	rpsI // rplM	b3230 // b3231
Regulation of rpoHp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp3	-	rpoH	b3461
Regulation of rpoHp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp3	-	rpoH	b3461
Regulation of rpoHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp4	-	rpoH	b3461
Regulation of rpoHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp4	-	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	-	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	+	rpoH	b3461
Regulation of rpoHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoHp5	-	rpoH	b3461
Regulation of rpoSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoSp	-	rpoS	b2741
Regulation of rpoSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpoSp	-	rpoS	b2741
Regulation of rpsFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rpsFp	+	rpsF // priB // rpsR // rplI	b4200 // b4201 // b4202 // b4203
Regulation of rseDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rseDp1	+	rseD // rseC // rseB // rseA // rpoE	b4725 // b2570 // b2571 // b2572 // b2573
Regulation of rseDp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rseDp2	+	rseD // rseC // rseB // rseA // rpoE	b4725 // b2570 // b2571 // b2572 // b2573
Regulation of rspAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rspAp	+	rspA // rspB	b1581 // b1580
Regulation of sbmCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sbmCp2	+	sbmC	b2009
Regulation of sdhCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sdhCp	+	b0725 // sdhX // sdhC // sdhD // sdhA // sdhB // sucA // sucB // sucC // sucD	b0725 // b4764 // b0721 // b0722 // b0723 // b0724 // b0726 // b0727 // b0728 // b0729
Regulation of sdhDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sdhDp	+	sdhB // sdhA // sdhD	b0724 // b0723 // b0722
Regulation of secBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	secBp	+	secB // gpsA	b3609 // b3608
Regulation of serAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	serAp2	+	serA	b2913
Regulation of serCp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	serCp1	-	serC // aroA	b0907 // b0908
Regulation of sfsAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sfsAp	+	dksA // sfsA	b0145 // b0146
Regulation of sodAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sodAp	+	sodA	b3908
Regulation of sodBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sodBp	-	sodB	b1656
Regulation of sohBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sohBp	-	sohB	b1272
Regulation of sohBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sohBp1	-	sohB	b1272
Regulation of sohBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	sohBp2	-	sohB	b1272
Regulation of speCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	speCp	-	speC	b2965
Regulation of spfp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	spfp	-	spfP // spf	b4837 // b3864
Regulation of srlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	srlAp	+	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	b2702 // b2703 // b2704 // b2705 // b2706 // b2707 // b2708
Regulation of srlAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	srlAp	+	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	b2702 // b2703 // b2704 // b2705 // b2706 // b2707 // b2708
Regulation of sxyp by DNA-binding transcriptional  repressor CRP-Sxy	sxyp	+	sxy	b0959
Regulation of tdcAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tdcAp	+	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA	b4471 // b3113 // b3114 // b3115 // b3116 // b3117 // b3118
Regulation of tnaCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tnaCp	+	tnaC // tnaA // tnaB	b3707 // b3708 // b3709
Regulation of treBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	treBp	+	treC // treB	b4239 // b4240
Regulation of treBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	treBp	+	treC // treB	b4239 // b4240
Regulation of trgp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	trgp	+	trg	b1421
Regulation of trxAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	trxAp1	-	trxA	b3781
Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tsxp2	+	tsx	b0411
Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tsxp2	-	tsx	b0411
Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tsxp2	-	tsx	b0411
Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	tsxp2	+	tsx	b0411
Regulation of ubiGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ubiGp	+	ubiG	b2232
Regulation of udpP by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	udpP	+	udp	b3831
Regulation of udpP by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	udpP	-	udp	b3831
Regulation of udpP by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	udpP	+	udp	b3831
Regulation of ugpBp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ugpBp2	+	ugpQ // ugpC // ugpE // ugpA // ugpB	b3449 // b3450 // b3451 // b3452 // b3453
Regulation of uhpTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uhpTp	+	uhpU // uhpT	b4829 // b3666
Regulation of uidAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uidAp	+	uidC // uidB // uidA	b1615 // b1616 // b1617
Regulation of ulaAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ulaAp	+	ulaF // ulaE // ulaD // ulaC // ulaB // ulaA	b4198 // b4197 // b4196 // b4195 // b4194 // b4193
Regulation of uxaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uxaBp	+	uxaB	b1521
Regulation of uxaCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uxaCp2	+	uxaA // uxaC	b3091 // b3092
Regulation of uxuAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uxuAp	+	uxuB // uxuA	b4323 // b4322
Regulation of uxuAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uxuAp	+	uxuB // uxuA	b4323 // b4322
Regulation of uxuRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	uxuRp	+	uxuR	b4324
Regulation of xseAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	xseAp	-	xseA	b2509
Regulation of xylAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	xylAp	+	xylB // xylA	b3564 // b3565
Regulation of xylEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	xylEp	+	xylE	b4031
Regulation of xylFp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	xylFp	+	xylF // xylG // xylH // xylR	b3566 // b3567 // b3568 // b3569
Regulation of yaePp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yaePp	-	yaeP // rof	b4406 // b0189
Regulation of yaeQp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	yaeQp	-	nlpE // arfB // yaeQ	b0192 // b0191 // b0190
Regulation of ybiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ybiTp	+	ybiT	b0820
Regulation of ybiTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ybiTp	-	ybiT	b0820
Regulation of ycdZp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ycdZp4	+	ycdZ	b1036
Regulation of ycdZp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ycdZp4	+	ycdZ	b1036
