Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of csrBp by DNA-binding transcriptional activator UvrY-phosphorylated	csrBp	+	csrB	b4408
Regulation of csrBp by DNA-binding transcriptional dual regulator IHF	csrBp	+	csrB	b4408
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of csrCp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	csrCp	-	csrC	b4457
Regulation of csrCp by DNA-binding transcriptional activator UvrY-phosphorylated	csrCp	+	csrC	b4457
Regulation of cstAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cstAp1	+	cstA	b0598
Regulation of cueOp by DNA-binding transcriptional dual regulator CueR-Cu+	cueOp	+	cueO	b0123
Regulation of cusCp by DNA-binding transcriptional activator CusR-phosphorylated	cusCp	+	cusA // cusB // cusF // cusC	b0575 // b0574 // b0573 // b0572
Regulation of cusCp by DNA-binding transcriptional dual regulator HprR-phosphorylated	cusCp	+	cusA // cusB // cusF // cusC	b0575 // b0574 // b0573 // b0572
Regulation of cusCp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	cusCp	+	cusA // cusB // cusF // cusC	b0575 // b0574 // b0573 // b0572
Regulation of cusRp by DNA-binding transcriptional activator CusR-phosphorylated	cusRp	+	cusS // cusR	b0570 // b0571
Regulation of cusRp by DNA-binding transcriptional dual regulator HprR-phosphorylated	cusRp	+	cusS // cusR	b0570 // b0571
Regulation of cusRp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	cusRp	+	cusS // cusR	b0570 // b0571
Regulation of cvpAp1 by DNA-binding transcriptional repressor PurR-hypoxanthine	cvpAp1	-	ubiX // purF // cvpA	b2311 // b2312 // b2313
Regulation of cyaAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaAp	-	cyaA	b3806
Regulation of cyaRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp	+	cyaR	b4438
Regulation of cyaRp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	cyaRp	-	cyaR	b4438
Regulation of cyaRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp2	+	cyaR	b4438
Regulation of cyaRp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	cyaRp2	-	cyaR	b4438
Regulation of cyaRp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyaRp3	+	cyaR	b4438
Regulation of cyaRp3 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	cyaRp3	-	cyaR	b4438
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator FNR	cydAp1	-	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator FNR	cydAp1	-	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by DNA-binding transcriptional dual regulator H-NS	cydAp1	-	cydA // cydB	b0733 // b0734
Regulation of cydAp1 by HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	cydAp1	+	cydA // cydB	b0733 // b0734
Regulation of cydAp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp2	+	cydB // cydA	b0734 // b0733
Regulation of cydAp2 by DNA-binding transcriptional dual regulator FNR	cydAp2	-	cydB // cydA	b0734 // b0733
Regulation of cydAp2 by DNA-binding transcriptional dual regulator FNR	cydAp2	+	cydB // cydA	b0734 // b0733
Regulation of cydAp2 by DNA-binding transcriptional dual regulator H-NS	cydAp2	-	cydB // cydA	b0734 // b0733
Regulation of cydAp3 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp3	+	cydB // cydA	b0734 // b0733
Regulation of cydAp3 by DNA-binding transcriptional dual regulator FNR	cydAp3	-	cydB // cydA	b0734 // b0733
Regulation of cydAp3 by DNA-binding transcriptional dual regulator FNR	cydAp3	-	cydB // cydA	b0734 // b0733
Regulation of cydAp3 by DNA-binding transcriptional dual regulator H-NS	cydAp3	-	cydB // cydA	b0734 // b0733
Regulation of cydAp4 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydAp4	+	cydB // cydA	b0734 // b0733
Regulation of cydAp4 by DNA-binding transcriptional dual regulator FNR	cydAp4	-	cydB // cydA	b0734 // b0733
Regulation of cydAp4 by DNA-binding transcriptional dual regulator FNR	cydAp4	-	cydB // cydA	b0734 // b0733
Regulation of cydAp4 by DNA-binding transcriptional dual regulator H-NS	cydAp4	-	cydB // cydA	b0734 // b0733
Regulation of cydAp5 by DNA-binding transcriptional dual regulator Cra	cydAp5	+	cydB // cydA	b0734 // b0733
Regulation of cydAp5 by DNA-binding transcriptional dual regulator Cra	cydAp5	+	cydB // cydA	b0734 // b0733
Regulation of cydDp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cydDp	+	cydC // cydD	b0886 // b0887
Regulation of cydDp by DNA-binding transcriptional dual regulator FNR	cydDp	+	cydC // cydD	b0886 // b0887
Regulation of cydDp by DNA-binding transcriptional dual regulator NarL-phosphorylated	cydDp	+	cydC // cydD	b0886 // b0887
Regulation of cydDp by DNA-binding transcriptional dual regulator NarL-phosphorylated	cydDp	+	cydC // cydD	b0886 // b0887
Regulation of cynRp by DNA-binding transcriptional dual regulator CynR	cynRp	-	cynR	b0338
Regulation of cynRp by DNA-binding transcriptional dual regulator CynR	cynRp	-	cynR	b0338
Regulation of cynTp by CynR-cyanate DNA-binding transcriptional dual regulator	cynTp	+	cynS // cynT // cynX	b0340 // b0339 // b0341
Regulation of cynTp by CynR-cyanate DNA-binding transcriptional dual regulator	cynTp	+	cynS // cynT // cynX	b0340 // b0339 // b0341
Regulation of cyoAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional activator CusR-phosphorylated	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional activator GadE	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator Cra	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator Fis	cyoAp	+	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator FNR	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator HprR-phosphorylated	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by DNA-binding transcriptional dual regulator PdhR	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cyoAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	cyoAp	-	cyoE // cyoD // cyoC // cyoB // cyoA	b0428 // b0429 // b0430 // b0431 // b0432
Regulation of cysBp by DNA-binding transcriptional dual regulator CysB	cysBp	-	cysB	b1275
Regulation of cysBp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	cysBp	+	cysB	b1275
Regulation of cysDp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	cysDp	+	cysC // cysN // cysD	b2750 // b2751 // b2752
Regulation of cysEp by DNA-binding transcriptional dual regulator SutR	cysEp	-	cysE	b3607
Regulation of cysHp by HypT-[Met-oxidized] DNA-binding transcriptional dual regulator	cysHp	+	cysH	b2762
Regulation of cysJp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	cysJp	+	cysH // cysI // cysJ	b2762 // b2763 // b2764
Regulation of cysJp by DNA-binding transcriptional dual regulator IHF	cysJp	+	cysH // cysI // cysJ	b2762 // b2763 // b2764
Regulation of cysKp1 by DNA-binding transcriptional dual regulator CysB	cysKp1	+	cysK	b2414
Regulation of cysPp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	cysPp	+	cysM // cysA // cysW // cysU // cysP	b2421 // b2422 // b2423 // b2424 // b2425
Regulation of cysPp by DNA-binding transcriptional dual regulator H-NS	cysPp	-	cysM // cysA // cysW // cysU // cysP	b2421 // b2422 // b2423 // b2424 // b2425
Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cytRp	+	cytR	b3934
Regulation of cytRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	cytRp	-	cytR	b3934
Regulation of cytRp by DNA-binding transcriptional repressor CytR	cytRp	-	cytR	b3934
Regulation of cytRp by DNA-binding transcriptional repressor CytR	cytRp	-	cytR	b3934
Regulation of cytRp by DNA-binding transcriptional repressor CytR	cytRp	-	cytR	b3934
Regulation of dacCp by DNA binding transcriptional dual regulator BolA-phosphorylated	dacCp	-	dacC	b0839
Regulation of dacCp by DNA binding transcriptional dual regulator BolA-phosphorylated	dacCp	+	dacC	b0839
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	+	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp1	+	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp1 by DNA-binding transcriptional dual regulator Lrp	dadAp1	-	dadX // dadA	b1190 // b1189
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp2	+	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp2	+	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp2 by DNA-binding transcriptional dual regulator Lrp	dadAp2	-	dadA // dadX	b1189 // b1190
Regulation of dadAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp3	+	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dadAp3	+	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	dadAp3	-	dadX // dadA	b1190 // b1189
Regulation of dapBp1 by DNA-binding transcriptional dual regulator ArgP	dapBp1	+	dapB	b0031
Regulation of dapBp1 by DNA-binding transcriptional dual regulator ArgP	dapBp1	+	dapB	b0031
Regulation of dapDp by DNA-binding transcriptional dual regulator ArgP	dapDp	+	dapD	b0166
Regulation of dctAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dctAp	+	dctA	b3528
Regulation of dctAp by DNA-binding transcriptional activator DcuR-phosphorylated	dctAp	+	dctA	b3528
Regulation of dctAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	dctAp	-	dctA	b3528
Regulation of dcuBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dcuBp1	+	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator FNR	dcuBp1	+	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuBp1	-	fumB // dcuB	b4122 // b4123
Regulation of dcuBp2 by DNA-binding transcriptional activator DcuR-phosphorylated	dcuBp2	+	fumB // dcuB	b4122 // b4123
Regulation of dcuBp2 by DNA-binding transcriptional activator DcuR-phosphorylated	dcuBp2	+	fumB // dcuB	b4122 // b4123
Regulation of dcuCp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	dcuCp	+	dcuC	b0621
Regulation of dcuCp by DNA-binding transcriptional dual regulator FNR	dcuCp	+	dcuC	b0621
Regulation of dcuCp by DNA-binding transcriptional dual regulator FNR	dcuCp	+	dcuC	b0621
Regulation of dcuCp by DNA-binding transcriptional dual regulator FNR	dcuCp	+	dcuC	b0621
Regulation of dcuDp1 by DNA-binding transcriptional dual regulator PhoP-phosphorylated	dcuDp1	-	dcuD	b3227
Regulation of dcuDp2 by DNA-binding transcriptional dual regulator IHF	dcuDp2	+	dcuD	b3227
Regulation of dcuRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dcuRp	+	dcuR	b4124
Regulation of dcuSp by DNA-binding transcriptional dual regulator FNR	dcuSp	+	dcuR // dcuS	b4124 // b4125
Regulation of dcuSp by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuSp	-	dcuR // dcuS	b4124 // b4125
Regulation of dcuSp by DNA-binding transcriptional dual regulator NarL-phosphorylated	dcuSp	-	dcuR // dcuS	b4124 // b4125
Regulation of ddpXp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	ddpXp1	+	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	b1483 // b1484 // b1485 // b1486 // b1487 // b1488
Regulation of ddpXp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	ddpXp1	+	ddpF // ddpD // ddpC // ddpB // ddpA // ddpX	b1483 // b1484 // b1485 // b1486 // b1487 // b1488
Regulation of decRp by DNA-binding transcriptional dual regulator MarA	decRp	+	decR	b0447
Regulation of decRp by DNA-binding transcriptional dual regulator SoxS	decRp	+	decR	b0447
Regulation of degPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	degPp	+	degP	b0161
Regulation of degPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	degPp	+	degP	b0161
Regulation of degPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	degPp	+	degP	b0161
Regulation of degPp by DNA-binding transcriptional dual regulator H-NS	degPp	-	degP	b0161
Regulation of deoCp1 by DNA-binding transcriptional repressor DeoR	deoCp1	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp1 by DNA-binding transcriptional repressor DeoR	deoCp1	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp1 by DNA-binding transcriptional repressor DeoR	deoCp1	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	+	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	deoCp2	+	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional dual regulator Fis	deoCp2	+	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional dual regulator ModE-molybdate	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor CytR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor CytR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor CytR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor DeoR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor DeoR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of deoCp2 by DNA-binding transcriptional repressor DeoR	deoCp2	-	deoC // deoA // deoB // deoD	b4381 // b4382 // b4383 // b4384
Regulation of dgcZp by CysB-O-acetyl-L-serine DNA-binding transcriptional dual regulator	dgcZp	+	dgcZ	b1535
Regulation of dgcZp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	dgcZp	+	dgcZ	b1535
Regulation of dgkAp1 by DNA-binding transcriptional dual regulator BasR-phosphorylated	dgkAp1	+	dgkA	b4042
Regulation of dgoRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dgoRp	+	dgoR // dgoK // dgoA // dgoD // dgoT	b4479 // b3693 // b4477 // b4478 // b3691
Regulation of dgoRp by DNA-binding transcriptional repressor DgoR	dgoRp	-	dgoR // dgoK // dgoA // dgoD // dgoT	b4479 // b3693 // b4477 // b4478 // b3691
Regulation of dgoRp by DNA-binding transcriptional repressor DgoR	dgoRp	-	dgoR // dgoK // dgoA // dgoD // dgoT	b4479 // b3693 // b4477 // b4478 // b3691
Regulation of dhaKp by DNA-binding transcriptional dual regulator DhaR	dhaKp	+	dhaM // dhaL // dhaK	b1198 // b1199 // b1200
Regulation of dhaRp by DNA-binding transcriptional dual regulator DhaR	dhaRp	-	dhaR	b1201
Regulation of dicBp by DNA-binding transcriptional dual regulator DicA	dicBp	-	intQ // insD7 // ydfE // ydfD // dicB	b1579 // b1578 // b1577 // b1576 // b1575
Regulation of dicCp by DNA-binding transcriptional dual regulator DicA	dicCp	-	dicC // ydfX // ydfW	b1569 // b1568 // b1567
Regulation of dinBp by DNA-binding transcriptional repressor LexA	dinBp	-	yafP // yafO // yafN // dinB	b0234 // b0233 // b0232 // b0231
Regulation of dinBp2 by DNA-binding transcriptional repressor LexA	dinBp2	-	yafP // yafO // yafN // dinB	b0234 // b0233 // b0232 // b0231
Regulation of dinDp by DNA-binding transcriptional repressor LexA	dinDp	-	dinD	b3645
Regulation of dinGp by DNA-binding transcriptional repressor LexA	dinGp	-	ybiB // dinG	b0800 // b0799
Regulation of dinIp by DNA-binding transcriptional dual regulator NagC	dinIp	-	dinI	b1061
Regulation of dinIp by DNA-binding transcriptional repressor LexA	dinIp	-	dinI	b1061
Regulation of dinJp by DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor	dinJp	-	dinJ // yafQ	b0226 // b0225
Regulation of dinJp by DNA-binding transcriptional repressor LexA	dinJp	-	dinJ // yafQ	b0226 // b0225
Regulation of dinQp by DNA-binding transcriptional repressor LexA	dinQp	-	dinQ	b4613
Regulation of dinQp by DNA-binding transcriptional repressor LexA	dinQp	-	dinQ	b4613
Regulation of dkgBp by DNA-binding transcriptional dual regulator NsrR	dkgBp	-	dkgB	b0207
Regulation of dkgBp by DNA-binding transcriptional dual regulator NsrR	dkgBp	-	dkgB	b0207
Regulation of dksAp2 by DksA-ppGpp	dksAp2	-	gluQ // dksA	b0144 // b0145
Regulation of dksAp2 by ppGpp	dksAp2	-	gluQ // dksA	b0144 // b0145
Regulation of dksAp2 by RNA polymerase-binding transcription factor DksA	dksAp2	-	gluQ // dksA	b0144 // b0145
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator Fis	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator Fis	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator Fis	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator FNR	dmsAp1	+	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	dmsAp1	-	dmsA // dmsB // dmsC	b0894 // b0895 // b0896
Regulation of dmsAp2 by DNA-binding transcriptional dual regulator IHF	dmsAp2	-	dmsC // dmsB // dmsA	b0896 // b0895 // b0894
Regulation of dmsAp2 by DNA-binding transcriptional dual regulator ModE-molybdate	dmsAp2	-	dmsC // dmsB // dmsA	b0896 // b0895 // b0894
Regulation of dnaAp1 by DNA-binding transcriptional dual regulator ArgP	dnaAp1	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp1 by DNA-binding transcriptional dual regulator ArgP	dnaAp1	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp1 by DNA-binding transcriptional dual regulator ArgP	dnaAp1	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp1 by DnaA-ATP	dnaAp1	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp1 by ppGpp	dnaAp1	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DNA-binding transcriptional dual regulator Fis	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	+	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by DnaA-ATP	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dnaAp2 by ppGpp	dnaAp2	-	recF // dnaN // dnaA	b3700 // b3701 // b3702
Regulation of dpiBp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	dpiBp1	-	dpiA // dpiB	b0620 // b0619
Regulation of dpiBp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	dpiBp1	+	dpiA // dpiB	b0620 // b0619
