Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
galE,dual,"carbon compounds; colanic acid (M antigen); galactose metabolism; surface antigens (ECA, O antigen of LPS); capsule (M and K antigens)",GO:0005975 - carbohydrate metabolic process; GO:0006012 - galactose metabolic process; GO:0009242 - colanic acid biosynthetic process; GO:0033499 - galactose catabolic process via UDP-galactose,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003978 - UDP-glucose 4-epimerase activity; GO:0005515 - protein binding; GO:0016853 - isomerase activity; GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives; GO:0042802 - identical protein binding; GO:0070403 - NAD+ binding"
galM,dual,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0006006 - glucose metabolic process; GO:0006012 - galactose metabolic process; GO:0019318 - hexose metabolic process; GO:0033499 - galactose catabolic process via UDP-galactose,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0004034 - aldose 1-epimerase activity; GO:0016853 - isomerase activity; GO:0030246 - carbohydrate binding
galT,dual,carbon compounds; colanic acid (M antigen); galactose metabolism; capsule (M and K antigens),GO:0006012 - galactose metabolic process; GO:0033499 - galactose catabolic process via UDP-galactose; GO:0046835 - carbohydrate phosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0004335 - galactokinase activity; GO:0008108 - UDP-glucose:hexose-1-phosphate uridylyltransferase activity; GO:0008198 - ferrous iron binding; GO:0008270 - zinc ion binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0046872 - metal ion binding
gltB,repressor,glutamate; nitrogen metabolism,GO:0006537 - glutamate biosynthetic process; GO:0006541 - glutamine metabolic process; GO:0008652 - amino acid biosynthetic process; GO:0019676 - ammonia assimilation cycle; GO:0097054 - L-glutamate biosynthetic process,GO:0005829 - cytosol; GO:0009342 - glutamate synthase complex (NADPH),"GO:0004354 - glutamate dehydrogenase (NADP+) activity; GO:0004355 - glutamate synthase (NADPH) activity; GO:0005515 - protein binding; GO:0015930 - glutamate synthase activity; GO:0016040 - glutamate synthase (NADH) activity; GO:0016491 - oxidoreductase activity; GO:0016638 - oxidoreductase activity, acting on the CH-NH2 group of donors; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051538 - 3 iron, 4 sulfur cluster binding"
gltD,repressor,glutamate; nitrogen metabolism,GO:0006537 - glutamate biosynthetic process; GO:0008652 - amino acid biosynthetic process; GO:0019676 - ammonia assimilation cycle; GO:0097054 - L-glutamate biosynthetic process,GO:0005829 - cytosol; GO:0009342 - glutamate synthase complex (NADPH),"GO:0004354 - glutamate dehydrogenase (NADP+) activity; GO:0004355 - glutamate synthase (NADPH) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0046872 - metal ion binding; GO:0051536 - iron-sulfur cluster binding; GO:0051539 - 4 iron, 4 sulfur cluster binding"
gltF,repressor,operon,,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,
araF,activator,"carbon compounds; ABC superfamily, periplasmic binding component",GO:0042882 - L-arabinose transmembrane transport; GO:0071702 - organic substance transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0015407 - ABC-type monosaccharide transporter activity; GO:0030246 - carbohydrate binding; GO:0048029 - monosaccharide binding
araH,activator,"carbon compounds; ABC superfamily, membrane component; membrane",GO:0015751 - arabinose transmembrane transport; GO:0042882 - L-arabinose transmembrane transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0015147 - L-arabinose transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
araG,activator,carbon compounds; ABC superfamily ATP binding cytoplasmic component,GO:0042882 - L-arabinose transmembrane transport; GO:0071702 - organic substance transport,"GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0015147 - L-arabinose transmembrane transporter activity; GO:0015612 - ABC-type L-arabinose transporter activity; GO:0016887 - ATP hydrolysis activity
cyaR,activator,antisense RNA; antisense RNA,GO:0035194 - regulatory ncRNA-mediated post-transcriptional gene silencing,,GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding; GO:0061980 - regulatory RNA binding
metK,repressor,S-adenosyl methionine biosynthesis,GO:0006556 - S-adenosylmethionine biosynthetic process; GO:0006730 - one-carbon metabolic process; GO:0033353 - S-adenosylmethionine cycle,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004478 - methionine adenosyltransferase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0030955 - potassium ion binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
bidA,activator,biotin,GO:0009102 - biotin biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004141 - dethiobiotin synthase activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
mlc,dual,cytoplasmic polysaccharides; Transcription related; repressor; operon; global,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,GO:0003677 - DNA binding; GO:0005515 - protein binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
csiE,activator,,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,
rhaR,activator,carbon compounds; Transcription related; activator; operon,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0019299 - rhamnose metabolic process; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
rhaS,activator,carbon compounds; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0019299 - rhamnose metabolic process; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
murQ,activator,"murein turnover, recycling","GO:0006040 - amino sugar metabolic process; GO:0009254 - peptidoglycan turnover; GO:0009750 - response to fructose; GO:0042593 - glucose homeostasis; GO:0046348 - amino sugar catabolic process; GO:0097173 - N-acetylmuramic acid catabolic process; GO:0097175 - 1,6-anhydro-N-acetyl-beta-muramic acid catabolic process; GO:1901135 - carbohydrate derivative metabolic process",GO:0005829 - cytosol,GO:0004857 - enzyme inhibitor activity; GO:0005515 - protein binding; GO:0016803 - ether hydrolase activity; GO:0016829 - lyase activity; GO:0016835 - carbon-oxygen lyase activity; GO:0019899 - enzyme binding; GO:0030246 - carbohydrate binding; GO:0070095 - fructose-6-phosphate binding; GO:0097367 - carbohydrate derivative binding
murP,activator,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0016310 - phosphorylation; GO:0034219 - carbohydrate transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090588 - protein-phosphocysteine-N-acetylmuramate phosphotransferase system transporter activity
mpl,activator,"murein turnover, recycling; murein",GO:0007049 - cell cycle; GO:0008360 - regulation of cell shape; GO:0009058 - biosynthetic process; GO:0009252 - peptidoglycan biosynthetic process; GO:0009254 - peptidoglycan turnover; GO:0051301 - cell division; GO:0071555 - cell wall organization,GO:0005576 - extracellular region; GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0000166 - nucleotide binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0016881 - acid-amino acid ligase activity; GO:0042802 - identical protein binding; GO:0097216 - guanosine tetraphosphate binding; GO:0106418 - UDP-N-acetylmuramate-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate ligase activity"
pdhR,activator,glycolysis; Transcription related; activator; repressor; operon,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
aceF,activator,carbon compounds; pyruvate dehydrogenase; glyoxylate degradation,GO:0006086 - acetyl-CoA biosynthetic process from pyruvate; GO:0006090 - pyruvate metabolic process; GO:0006096 - glycolytic process; GO:0042867 - pyruvate catabolic process,GO:0005737 - cytoplasm; GO:0045254 - pyruvate dehydrogenase complex,GO:0004738 - pyruvate dehydrogenase activity; GO:0004742 - dihydrolipoyllysine-residue acetyltransferase activity; GO:0005515 - protein binding; GO:0016407 - acetyltransferase activity; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0031405 - lipoic acid binding
aceE,activator,carbon compounds; pyruvate dehydrogenase; glyoxylate degradation,GO:0042867 - pyruvate catabolic process,GO:0005829 - cytosol; GO:0016020 - membrane; GO:0045254 - pyruvate dehydrogenase complex,GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004738 - pyruvate dehydrogenase activity; GO:0004739 - pyruvate dehydrogenase (acetyl-transferring) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0030976 - thiamine pyrophosphate binding; GO:0036094 - small molecule binding; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding; GO:0060090 - molecular adaptor activity
lpd,dual,carbon compounds; amino acids; pyruvate dehydrogenase; formyl-THF biosynthesis,GO:0006090 - pyruvate metabolic process; GO:0006099 - tricarboxylic acid cycle; GO:0006103 - 2-oxoglutarate metabolic process; GO:0006730 - one-carbon metabolic process; GO:0006979 - response to oxidative stress; GO:0019464 - glycine decarboxylation via glycine cleavage system; GO:0042867 - pyruvate catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0005960 - glycine cleavage complex; GO:0016020 - membrane; GO:0045252 - oxoglutarate dehydrogenase complex; GO:0045254 - pyruvate dehydrogenase complex,"GO:0004148 - dihydrolipoyl dehydrogenase activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0015036 - disulfide oxidoreductase activity; GO:0016491 - oxidoreductase activity; GO:0016668 - oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor; GO:0042802 - identical protein binding; GO:0050660 - flavin adenine dinucleotide binding"
ompF,activator,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily),GO:0006811 - monoatomic ion transport; GO:0015031 - protein transport; GO:0034220 - monoatomic ion transmembrane transport; GO:0043213 - bacteriocin transport; GO:0070207 - protein homotrimerization,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0034702 - monoatomic ion channel complex; GO:0046930 - pore complex,GO:0001530 - lipopolysaccharide binding; GO:0005216 - monoatomic ion channel activity; GO:0005515 - protein binding; GO:0008289 - lipid binding; GO:0015288 - porin activity; GO:0042802 - identical protein binding; GO:0042912 - colicin transmembrane transporter activity; GO:0097718 - disordered domain specific binding
gadC,repressor,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0006865 - amino acid transport; GO:0051454 - intracellular pH elevation; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015297 - antiporter activity; GO:0022857 - transmembrane transporter activity
gadB,repressor,pH,GO:0006536 - glutamate metabolic process; GO:0006538 - glutamate catabolic process; GO:0019752 - carboxylic acid metabolic process; GO:0051454 - intracellular pH elevation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane,GO:0004351 - glutamate decarboxylase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0016830 - carbon-carbon lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding
crr,dual,carbon compounds; Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0016310 - phosphorylation; GO:0034763 - negative regulation of transmembrane transport; GO:0043610 - regulation of carbohydrate utilization; GO:0045912 - negative regulation of carbohydrate metabolic process; GO:0071702 - organic substance transport; GO:1902344 - negative regulation of maltose transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009898 - cytoplasmic side of plasma membrane; GO:0016020 - membrane; GO:1902495 - transmembrane transporter complex; GO:1990154 - enzyme IIA-maltose transporter complex,GO:0005515 - protein binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0046872 - metal ion binding
ptsI,dual,carbon compounds; Accessory Factors Involved in Transport,GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0016310 - phosphorylation; GO:0071702 - organic substance transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0005515 - protein binding; GO:0008965 - phosphoenolpyruvate-protein phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding"
ptsH,dual,carbon compounds; inhibition / activation of enzymes; Accessory Factors Involved in Transport,GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0018106 - peptidyl-histidine phosphorylation; GO:0043609 - regulation of carbon utilization; GO:0045819 - positive regulation of glycogen catabolic process; GO:0071702 - organic substance transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004857 - enzyme inhibitor activity; GO:0005515 - protein binding; GO:0008047 - enzyme activator activity; GO:0016775 - phosphotransferase activity, nitrogenous group as acceptor; GO:0030234 - enzyme regulator activity; GO:0045152 - antisigma factor binding"
osmY,repressor,osmotic pressure,GO:0006970 - response to osmotic stress; GO:0006972 - hyperosmotic response; GO:0061077 - chaperone-mediated protein folding,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0005515 - protein binding
acs,activator,carbon compounds; fatty acids; fatty acids and phosphatidic acid; acetate catabolism,GO:0006085 - acetyl-CoA biosynthetic process; GO:0006935 - chemotaxis; GO:0018394 - peptidyl-lysine acetylation; GO:0019427 - acetyl-CoA biosynthetic process from acetate; GO:0034421 - post-translational protein acetylation; GO:0045733 - acetate catabolic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0003987 - acetate-CoA ligase activity; GO:0005524 - ATP binding; GO:0016208 - AMP binding; GO:0016874 - ligase activity; GO:0033558 - protein lysine deacetylase activity; GO:0046872 - metal ion binding; GO:0050218 - propionate-CoA ligase activity
actP,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0006811 - monoatomic ion transport; GO:0006814 - sodium ion transport; GO:0006847 - plasma membrane acetate transport; GO:0015710 - tellurite transport; GO:0046942 - carboxylic acid transport; GO:0055085 - transmembrane transport; GO:0071705 - nitrogen compound transport; GO:0097339 - glycolate transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015123 - acetate transmembrane transporter activity; GO:0015293 - symporter activity; GO:0015654 - tellurite transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0043879 - glycolate transmembrane transporter activity
yjcH,activator,,,GO:0005886 - plasma membrane; GO:0016020 - membrane,
sohB,repressor,proteins/peptides/glycopeptides,GO:0006508 - proteolysis,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0004252 - serine-type endopeptidase activity; GO:0008233 - peptidase activity; GO:0008236 - serine-type peptidase activity; GO:0016787 - hydrolase activity
mglB,activator,"carbon compounds; chaperoning, repair (refolding); ABC superfamily, periplasmic binding component",GO:0006935 - chemotaxis; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport; GO:0071702 - organic substance transport,"GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005509 - calcium ion binding; GO:0005515 - protein binding; GO:0005534 - galactose binding; GO:0005536 - glucose binding; GO:0030246 - carbohydrate binding; GO:0046872 - metal ion binding
mglA,activator,carbon compounds; ABC superfamily ATP binding cytoplasmic component,GO:0006974 - DNA damage response; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport; GO:0071702 - organic substance transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0000166 - nucleotide binding; GO:0005354 - galactose transmembrane transporter activity; GO:0005524 - ATP binding; GO:0015407 - ABC-type monosaccharide transporter activity; GO:0015592 - methylgalactoside transmembrane transporter activity; GO:0016887 - ATP hydrolysis activity
mglC,activator,"carbon compounds; ABC superfamily, membrane component; membrane",GO:0006974 - DNA damage response; GO:0015757 - galactose transmembrane transport; GO:0015765 - methylgalactoside transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,"GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0043190 - ATP-binding cassette (ABC) transporter complex; GO:0055052 - ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing",GO:0005354 - galactose transmembrane transporter activity; GO:0015592 - methylgalactoside transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
csgG,activator,Channel-type Transporters,GO:0044010 - single-species biofilm formation; GO:0071806 - protein transmembrane transport; GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system,GO:0005886 - plasma membrane; GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space; GO:0062155 - curli secretion complex,GO:0005515 - protein binding; GO:0042802 - identical protein binding
csgF,activator,"fimbri, pili; membrane",GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0062155 - curli secretion complex,GO:0005515 - protein binding; GO:0042802 - identical protein binding
csgD,activator,Transcription related; activator; repressor,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:1900190 - regulation of single-species biofilm formation; GO:2000144 - positive regulation of DNA-templated transcription initiation,GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0032993 - protein-DNA complex,GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0001217 - DNA-binding transcription repressor activity; GO:0003677 - DNA binding; GO:0042802 - identical protein binding
csgE,activator,Accessory Factors Involved in Transport,GO:0044010 - single-species biofilm formation; GO:0071806 - protein transmembrane transport; GO:0098775 - curli assembly; GO:0098777 - protein secretion by the type VIII secretion system,GO:0005829 - cytosol; GO:0009279 - cell outer membrane; GO:0062155 - curli secretion complex,GO:0005515 - protein binding; GO:0042802 - identical protein binding
oxyR,activator,"Transcription related; activator; repressor; regulon; other (mechanical, nutritional, oxidative stress)",GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0006979 - response to oxidative stress; GO:0051409 - response to nitrosative stress; GO:2000142 - regulation of DNA-templated transcription initiation,GO:0005829 - cytosol; GO:0032993 - protein-DNA complex,GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
gadA,repressor,pH,GO:0006536 - glutamate metabolic process; GO:0006538 - glutamate catabolic process; GO:0019752 - carboxylic acid metabolic process; GO:0051454 - intracellular pH elevation,GO:0005829 - cytosol; GO:0016020 - membrane,GO:0004351 - glutamate decarboxylase activity; GO:0005515 - protein binding; GO:0016829 - lyase activity; GO:0016830 - carbon-carbon lyase activity; GO:0016831 - carboxy-lyase activity; GO:0030170 - pyridoxal phosphate binding
gadX,repressor,Transcription related; activator,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0006974 - DNA damage response; GO:0045893 - positive regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0000976 - transcription cis-regulatory region binding; GO:0000987 - cis-regulatory region sequence-specific DNA binding; GO:0001216 - DNA-binding transcription activator activity; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0042803 - protein homodimerization activity; GO:0043565 - sequence-specific DNA binding
epd,activator,pyridoxal 5'phosphate; central intermediary metabolism,GO:0006006 - glucose metabolic process; GO:0008615 - pyridoxine biosynthetic process; GO:0042823 - pyridoxal phosphate biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004365 - glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0048001 - erythrose-4-phosphate dehydrogenase activity; GO:0051287 - NAD binding"
fbaA,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process,GO:0005829 - cytosol,GO:0004332 - fructose-bisphosphate aldolase activity; GO:0005515 - protein binding; GO:0008270 - zinc ion binding; GO:0016829 - lyase activity; GO:0016832 - aldehyde-lyase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding
pgk,activator,glycolysis; central intermediary metabolism,GO:0006094 - gluconeogenesis; GO:0006096 - glycolytic process; GO:0016310 - phosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004618 - phosphoglycerate kinase activity; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0043531 - ADP binding; GO:0097216 - guanosine tetraphosphate binding
frlR,activator,Transcription related; repressor,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
frlD,activator,carbon compounds,GO:0016310 - phosphorylation; GO:0046835 - carbohydrate phosphorylation,GO:0005829 - cytosol,"GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0016772 - transferase activity, transferring phosphorus-containing groups; GO:0019200 - carbohydrate kinase activity"
frlC,activator,carbon compounds,GO:0046348 - amino sugar catabolic process,GO:0005829 - cytosol,"GO:0016853 - isomerase activity; GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding"
frlB,activator,carbon compounds,GO:0006002 - fructose 6-phosphate metabolic process; GO:0006047 - UDP-N-acetylglucosamine metabolic process; GO:0006487 - protein N-linked glycosylation; GO:1901135 - carbohydrate derivative metabolic process,GO:0005829 - cytosol,GO:0004360 - glutamine-fructose-6-phosphate transaminase (isomerizing) activity; GO:0016787 - hydrolase activity; GO:0016836 - hydro-lyase activity; GO:0042802 - identical protein binding; GO:0097367 - carbohydrate derivative binding
frlA,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0003333 - amino acid transmembrane transport; GO:0006865 - amino acid transport; GO:0055085 - transmembrane transport; GO:1901281 - fructoselysine catabolic process; GO:1902475 - L-alpha-amino acid transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015179 - L-amino acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity
ytfK,activator,starvation,GO:0006979 - response to oxidative stress; GO:0015968 - stringent response; GO:0016036 - cellular response to phosphate starvation,,GO:0005515 - protein binding
cycA,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0001762 - beta-alanine transport; GO:0006865 - amino acid transport; GO:0015808 - L-alanine transport; GO:0015816 - glycine transport; GO:0042941 - D-alanine transport; GO:0042942 - D-serine transport; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0001761 - beta-alanine transmembrane transporter activity; GO:0015180 - L-alanine transmembrane transporter activity; GO:0015187 - glycine transmembrane transporter activity; GO:0015293 - symporter activity; GO:0042944 - D-alanine transmembrane transporter activity; GO:0042945 - D-serine transmembrane transporter activity
htpG,repressor,"chaperoning, repair (refolding)",GO:0006457 - protein folding; GO:0006974 - DNA damage response; GO:0009408 - response to heat; GO:0018106 - peptidyl-histidine phosphorylation; GO:0043093 - FtsZ-dependent cytokinesis,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0048471 - perinuclear region of cytoplasm,GO:0000166 - nucleotide binding; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0044183 - protein folding chaperone; GO:0051082 - unfolded protein binding; GO:0051087 - protein-folding chaperone binding; GO:0140662 - ATP-dependent protein folding chaperone
entF,repressor,enterochelin (enterobactin); Coenzyme A and its modification; Non-ribosomal peptide synthetase; Fe aquisition; membrane,GO:0008152 - metabolic process; GO:0009058 - biosynthetic process; GO:0009239 - enterobactin biosynthetic process; GO:0019752 - carboxylic acid metabolic process; GO:0043041 - amino acid activation for nonribosomal peptide biosynthetic process; GO:0043604 - amide biosynthetic process; GO:0044550 - secondary metabolite biosynthetic process; GO:1901566 - organonitrogen compound biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009366 - enterobactin synthetase complex,"GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0005524 - ATP binding; GO:0016740 - transferase activity; GO:0016779 - nucleotidyltransferase activity; GO:0016874 - ligase activity; GO:0031177 - phosphopantetheine binding; GO:0047527 - 2,3-dihydroxybenzoate-serine ligase activity"
purH,repressor,purine biosynthesis; nucleotide and nucleoside conversions,GO:0006164 - purine nucleotide biosynthetic process; GO:0006189 - 'de novo' IMP biosynthetic process; GO:0008152 - metabolic process,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0003937 - IMP cyclohydrolase activity; GO:0004643 - phosphoribosylaminoimidazolecarboxamide formyltransferase activity; GO:0016740 - transferase activity; GO:0016787 - hydrolase activity
fadL,activator,fatty acids; Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily); prophage genes and phage related functions,GO:0006869 - lipid transport; GO:0015908 - fatty acid transport; GO:0015909 - long-chain fatty acid transport; GO:0055085 - transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane,GO:0015483 - long-chain fatty acid transporting porin activity; GO:0022834 - ligand-gated channel activity
melR,activator,carbon compounds; Transcription related; activator; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
